TSV dump below:
 page	date	name	department	amount
10	2025-02-09	Transaction #4485	Mining	$8073.14
10	2025-01-19	Transaction #6173	Logistics	$1833.87
10	2025-11-20	Invoice #8836	Development	$6711.01
10	2024-12-22	Refund #4557	Mining	$6111.11
11	2025-08-02	Charge #7522	Sales	$1777.18
11	2025-02-28	Payment #9275	Sales	$295.47
11	2025-02-08	Invoice #4252	Support	$1784.53
11	2025-01-22	Invoice #2271	Sales	$9911.69
11	2024-11-26	Charge #5597	Mining	$1943.74
11	2025-03-08	Transaction #4730	Mining	$7760.49
11	2025-10-25	Payment #6273	Logistics	$8794.52
11	2025-11-07	Refund #9292	Support	$1397.88
11	2025-09-17	Transaction #1175	Support	$9598.5
11	2025-10-06	Transaction #9517	Sales	$6706.87
11	2025-06-07	Invoice #7302	Mining	$8442.05
11	2024-12-21	Transfer #7870	Research	$8560.88
12	2025-07-21	Refund #6956	Mining	$6314.94
12	2025-10-24	Payment #3293	Mining	$362.32
12	2025-07-30	Charge #5759	Research	$9292.91
12	2025-07-04	Transaction #7041	Sales	$6963.94
12	2025-04-26	Invoice #6899	Sales	$1896.13
12	2025-07-31	Transfer #2933	Development	$5161.22
12	2025-06-15	Payment #4452	Mining	$6429.13
12	2025-05-28	Payment #7745	Development	$6241.01
12	2025-03-21	Payment #5413	Support	$7434.65
12	2025-03-11	Refund #9292	Development	$2310.13
12	2025-01-10	Charge #5698	Development	$3295.63
12	2025-09-28	Transfer #5589	Support	$2536.82
13	2025-02-25	Transfer #4054	Sales	$879.81
13	2024-12-31	Transaction #5796	Logistics	$1036.95
13	2025-08-06	Transaction #6516	Research	$2051.69
13	2025-04-27	Charge #7998	Logistics	$2038.36
13	2025-08-25	Refund #2667	Development	$2164.88
13	2025-07-16	Transfer #8898	Development	$9225.7
13	2025-09-24	Refund #6262	Logistics	$7989.87
13	2025-09-23	Refund #2372	Development	$8826.04
13	2025-03-30	Charge #8804	Research	$7893.93
13	2025-08-25	Invoice #8251	Support	$8460.57
13	2025-05-30	Charge #9282	Logistics	$4873.26
13	2025-06-21	Refund #5923	Mining	$2079.14
14	2025-06-05	Charge #8868	Research	$6395.58
14	2025-02-02	Refund #1117	Sales	$3849.69
14	2025-03-10	Refund #1507	Logistics	$3456.78
14	2025-10-17	Transfer #6393	Mining	$919.43
14	2025-03-20	Transfer #8812	Logistics	$2570.52
14	2025-02-26	Transaction #2437	Sales	$7443.91
14	2025-09-12	Invoice #4229	Research	$2832.3
14	2025-06-25	Charge #3543	Logistics	$9217.13
14	2024-12-30	Charge #8445	Logistics	$9981.64
14	2025-05-15	Payment #9678	Development	$3676.7
14	2025-10-04	Transaction #2098	Logistics	$7451.98
14	2025-03-26	Charge #5196	Sales	$8582.94
15	2025-02-06	Refund #1743	Research	$9295.24
15	2025-02-15	Charge #1276	Support	$4487.43
15	2025-06-04	Charge #9769	Development	$547.89
15	2025-02-11	Transfer #5176	Logistics	$2081.88
15	2025-01-13	Payment #2967	Support	$6150.46
15	2025-10-01	Payment #9754	Sales	$4129.54
15	2025-04-03	Refund #4613	Mining	$2895.44
15	2025-09-02	Payment #9546	Support	$1086.8
15	2025-01-11	Refund #9633	Mining	$8542.58
15	2025-04-18	Refund #5760	Development	$9076.43
15	2025-02-07	Refund #9003	Research	$8895.08
15	2025-09-12	Charge #5387	Support	$698.75
16	2025-03-11	Invoice #4289	Sales	$5667.58
16	2025-01-09	Transaction #3860	Development	$7696.19
16	2025-05-12	Charge #2618	Development	$7524.66
16	2024-12-06	Transfer #3224	Support	$9237.6
16	2024-12-16	Invoice #9531	Development	$1850.32
16	2025-10-07	Transfer #5265	Support	$5261.91
16	2025-02-23	Transfer #8027	Mining	$8235.64
16	2025-09-30	Transaction #7531	Mining	$5355.07
16	2025-06-23	Charge #1542	Support	$6575.85
16	2025-04-13	Refund #5987	Sales	$9161.39
16	2024-12-25	Refund #8141	Development	$1430.12
16	2025-02-14	Transaction #7538	Logistics	$2428.36
17	2025-08-17	Charge #9521	Research	$9509.15
17	2025-02-20	Invoice #3037	Research	$6918.74
17	2025-11-19	Payment #2738	Logistics	$6899.98
17	2025-01-29	Transfer #6657	Research	$187.61
17	2025-05-23	Invoice #6639	Mining	$9015.85
17	2025-06-28	Invoice #6259	Support	$2315.76
17	2025-07-20	Transfer #6683	Support	$1370.54
17	2025-06-30	Transfer #1007	Sales	$832.1
